campaign_id,raw_candidates,eligible_control_upcs
397,625,420
604,625,420
954,622,417
1613,625,420
4605,683,326
4779,752,391
5147,745,391
8361,666,317
8620,625,420
9003,625,420
9451,627,421
10888,666,316
11066,655,314
11156,347,159
11513,234,129
13483,660,313
13564,347,159
13591,234,128
14053,655,311
14130,347,159
14153,234,128
14704,625,419
14917,625,417
15348,233,115
15356,236,130
15944,235,116
15951,253,144
16836,717,232
17039,233,127
17279,717,232
18198,717,232
18573,717,232
19394,729,251
19441,728,251
20485,205,118
20495,260,166
20505,264,121
20525,146,66
20558,166,72
20562,153,69
20573,219,35
20577,256,67
20591,188,83
20606,404,181
20612,359,165
20625,445,147
20832,237,143
20847,264,121
20862,219,123
20885,144,69
20920,162,83
20933,165,72
20941,139,58
20967,220,37
20976,259,68
20991,285,102
21006,190,87
21032,403,181
21044,359,165
21069,445,147
21128,234,143
21141,264,121
21165,146,65
21217,145,62
21244,223,39
21250,258,68
21277,190,83
21297,403,181
21305,359,167
21320,444,147
21395,262,119
21418,148,73
21449,167,85
21468,149,63
21493,221,37
21501,218,40
21532,189,83
21555,403,180
21566,360,169
21584,446,148
21611,232,136
21636,213,71
21681,169,86
21711,281,84
21739,246,75
21770,187,77
21806,406,180
22170,237,94
22206,211,118
22379,191,77
22655,227,137
22851,227,137
23402,233,142
23619,441,146
23719,437,143
23913,439,144
24023,238,140
24040,237,92
24063,215,121
24151,247,76
24196,192,82
24251,407,182
24465,444,148
24583,472,202
25156,227,140
25576,159,84
25756,666,315
26080,441,146
26183,165,87
26217,262,115
26259,156,81
26406,358,155
26614,260,116
26692,388,167
26713,358,153
27988,151,78
28154,662,303
28466,290,203
28480,263,119
28526,168,86
28565,202,60
28602,464,224
28625,349,172
28709,288,196
28726,262,116
28760,139,75
28852,469,228
28877,346,173
29165,344,169
32501,162,82
41854,274,97
42749,272,128
42854,432,141
43029,434,142
43089,279,135
43204,434,146
45103,241,104
45269,711,232
46723,666,311
47546,161,76
47991,267,179
48016,161,75
48251,181,95
49907,167,89
51108,440,142
51870,438,145
51962,173,93
52136,776,411
52376,769,408
52565,776,411
53416,738,379
54436,234,125
54579,498,225
54614,623,420
55965,411,214
55988,776,409
56193,754,401
56288,235,125
56460,500,227
56484,666,316
56767,235,125
56892,500,225
56925,666,315
57381,664,310
58079,500,227
58106,625,420
58394,235,125
58583,485,212
58608,625,420
59316,235,125
59474,484,210
59505,625,420
60718,740,380
60896,726,376
61417,683,319
62235,775,410
62340,771,407
63116,264,155
63270,464,222
64488,208,125
64967,294,205
65025,162,60
66376,253,91
66666,255,92
66968,183,79
68071,285,94
68260,141,78
69283,438,136
69388,440,139
69493,435,141
69998,432,142
70070,431,144
70997,222,88
71176,217,85
71208,222,143
72006,206,125
72039,179,98
72348,205,125
72372,213,120
74580,635,165
74904,622,158
77112,618,415
77250,727,385
77325,333,183
77595,722,389
77660,327,183
78067,733,392
78371,437,140
78456,434,138
78537,441,142
79637,363,169
79779,364,166
86925,220,85
86955,140,53
87128,216,76
87158,140,53
87177,223,143
87194,153,82
87206,154,96
87491,189,84
87536,231,132
88070,190,86
88174,266,87
88865,180,103
88901,161,76
88921,166,84
89413,216,132
89428,203,122
89505,222,69
92525,351,171
92850,174,91
93174,158,83
93217,300,92
93392,179,105
93416,257,113
93443,142,59
