campaign_id,variant,n_controls,control_upcs
397,K5,5,"7800000162,2950011762,6647947330,7800000109,8813099464"
397,K10_primary,10,"7800000162,2950011762,6647947330,7800000109,8813099464,7336070919,7840000753,3120000839,8939615612,8939615651"
397,K20,20,"7800000162,2950011762,6647947330,7800000109,8813099464,7336070919,7840000753,3120000839,8939615612,8939615651,4300098080,4100000991,1200000566,7840000267,6647987430,8939615152,74879400003,3828100385,4100000990,7336037341"
397,lowcross_K10,10,"5400073508,5096833008,7336070661,7840000764,7910332074,7478000006,6647987450,7802316151,1200010430,1660051572"
604,K5,5,"2950011762,7800000162,6647947330,7800000109,1200000050"
604,K10_primary,10,"2950011762,7800000162,6647947330,7800000109,1200000050,7840000753,3120000839,8813099464,7336070919,8939615612"
604,K20,20,"2950011762,7800000162,6647947330,7800000109,1200000050,7840000753,3120000839,8813099464,7336070919,8939615612,4100000991,6647987430,1200000566,8939615651,3828100385,8939615152,7840000143,7279600281,4300098080,7840000267"
604,lowcross_K10,10,"7802316151,7336037905,7910332074,1660000006,7840000257,7910332034,1200000295,1200000567,5400073508,4900000164"
954,K5,5,"2950001682,7800000079,8390000003,4100000992,4100000990"
954,K10_primary,10,"2950001682,7800000079,8390000003,4100000992,4100000990,470,1200000490,5490000029,1200000494,8390000004"
954,K20,20,"2950001682,7800000079,8390000003,4100000992,4100000990,470,1200000490,5490000029,1200000494,8390000004,1660000064,1200000085,7478000005,2950005682,1660000006,3828100329,4900000050,4900001968,4100000991,3828100331"
954,lowcross_K10,10,"8939615615,6647947031,1660051348,7297900217,7235000011,7143400153,7800000161,7840000732,2500000701,7840000257"
1613,K5,5,"7800000038,4100000991,1200000494,1200000085,4900001968"
1613,K10_primary,10,"7800000038,4100000991,1200000494,1200000085,4900001968,1200000490,4100000990,2950001682,470,4100000992"
1613,K20,20,"7800000038,4100000991,1200000494,1200000085,4900001968,1200000490,4100000990,2950001682,470,4100000992,8390000003,7800000162,2950011762,6647947330,7800000109,3120000839,1200000131,7840000753,8939615612,7336070919"
1613,lowcross_K10,10,"7336070918,4150880000,7840000273,4900000164,1200010799,1200000120,2500000717,3828100333,1660055220,7241005100"
4605,K5,5,"7170210213,4900000524,7802328263,7840000259,6647987850"
4605,K10_primary,10,"7170210213,4900000524,7802328263,7840000259,6647987850,7840000263,3828100389,3828100381,8939615150,4900000522"
