campaign_id,treated_upc,product_name,product_size,promo_code,event_start_week,event_end_week,n_participating_stores
397,420,PEPSI COLA CANS,24/12O,S,381,386,82
604,421,PEPSI DIET CANS,24/12O,S,381,386,82
954,423,DIET PEPSI CAFFEINE,24/12O,S,381,386,75
1613,426,MOUNTAIN DEW,24/12O,S,381,386,82
4605,450,COKE CLASSIC CANS,24/12O,B,377,386,80
4779,451,DIET COKE CANS,24/12O,B,379,386,78
5147,453,SPRITE,24/12O,B,379,386,71
8361,1200000016,PEPSI COLA CANS,12/12O,B,376,385,82
8620,1200000017,PEPSI COLA CANS,24/12O,S,381,386,82
9003,1200000053,PEPSI DIET CANS,24/12O,S,381,386,82
9451,1200000088,MOUNTAIN DEW,24/12O,S,381,386,77
10888,1200000190,PEPSI DIET CANS,12/12O,B,376,385,82
11066,1200000225,MOUNTAIN DEW CANS,12/12O,B,376,385,70
11156,1200000230,PEPSI COLA N/R,2 LT,S,159,163,82
11513,1200000231,PEPSI DIET N/R,2 LT,B,198,204,78
13483,1200000491,PEPSI CAFFEINE FREE,12/12O,B,376,385,72
13564,1200000492,CAFFEINE FREE PEPSI,2 LT,S,159,163,84
13591,1200000492,CAFFEINE FREE PEPSI,2 LT,B,198,204,82
14053,1200000495,DIET PEPSI CAFFEINE,12/12O,B,376,385,67
14130,1200000496,DIET PEPSI CAFFEINE,2 LT,S,159,163,83
14153,1200000496,DIET PEPSI CAFFEINE,2 LT,B,198,204,85
14704,1200000519,PEPSI CAFFEINE FREE,24/12O,S,381,386,77
14917,1200000524,DIET PEPSI CAFFEINE,24/12O,S,381,386,75
15348,1200000686,CRYSTAL PEPSI,2 LT,B,190,195,77
15356,1200000686,CRYSTAL PEPSI,2 LT,B,198,204,78
15944,1200000746,DIET MOUNTAIN DEW,2 LT,B,190,195,74
15951,1200000746,DIET MOUNTAIN DEW,2 LT,B,198,202,84
16836,1200000801,LEMON LIME SLICE PPD,2 LT,B,358,363,76
17039,1200000812,CRYSTAL DIET PEPSI,2 LT,B,198,204,78
17279,1200000820,DIET LEMON LIME SLIC,2 LT,B,358,363,77
18198,1200000863,ORANGE SLICE PPD,2 LT,B,358,363,75
18573,1200000878,DIET ORANGE SLICE PP,2 LT,B,358,363,76
19394,1200010054,PEPSI 20 OZ NR 8PK,8/20OZ,B,349,354,72
19441,1200010055,DIET PEPSI 20 OZ NR,8/20OZ,B,349,354,68
20485,1660000006,SCHWEPPS TONIC N/R,1 LT,B,44,51,68
20495,1660000006,SCHWEPPS TONIC N/R,1 LT,B,53,58,76
20505,1660000006,SCHWEPPS TONIC N/R,1 LT,B,61,69,72
20525,1660000006,SCHWEPPS TONIC N/R,1 LT,B,89,112,34
20558,1660000006,SCHWEPPS TONIC N/R,1 LT,B,123,137,29
20562,1660000006,SCHWEPPS TONIC N/R,1 LT,B,126,138,47
20573,1660000006,SCHWEPPS TONIC N/R,1 LT,B,147,165,35
20577,1660000006,SCHWEPPS TONIC N/R,1 LT,B,150,166,46
20591,1660000006,SCHWEPPS TONIC N/R,1 LT,B,187,200,42
20606,1660000006,SCHWEPPS TONIC N/R,1 LT,B,204,212,82
20612,1660000006,SCHWEPPS TONIC N/R,1 LT,B,221,226,80
20625,1660000006,SCHWEPPS TONIC N/R,1 LT,B,276,283,82
20832,1660000026,SCHWEPPS GINGER ALE,1 LT,B,53,59,69
20847,1660000026,SCHWEPPS GINGER ALE,1 LT,B,61,69,69
20862,1660000026,SCHWEPPS GINGER ALE,1 LT,B,74,81,68
20885,1660000026,SCHWEPPS GINGER ALE,1 LT,B,89,107,33
