treated_upc,product_name,product_size,n_valid_campaigns,n_repeat,n_redesign,n_monitor,n_stop,total_incremental_margin,total_incremental_units
1660000026,SCHWEPPS GINGER ALE,1 LT,7,3,2,2,0,1784.483504731118,30440.360532535524
1660000064,SCHWEPPES DIET TONIC,1 LT,4,3,1,0,0,3766.6591626666823,27946.15253990616
1660050570,SCHWEPPES TONIC WATE,6/10OZ,4,1,1,1,1,1627.015780269518,3408.9920104468315
1690001751,CANADA DRY GINGER AL,1 LT,3,1,2,0,0,725.0911898303091,8406.982041374527
1660051470,SCHWEPPS CLUB SODA N,6/10OZ,3,2,0,0,1,123.83019682017516,1321.766835399772
3828100337,DOM GINGER ALE,1 LT,2,1,1,0,0,1852.6196186921397,14819.979574736619
7020211704,A W ROOT BEER SF,2 LT,2,0,1,1,0,1144.3656546483592,20210.726426443187
7840000055,CANFIELD 50/50,1 LT,2,0,1,1,0,665.1928863832627,3144.6833177531444
1690000301,CANADA DRY GINGER AL,6/10OZ,2,1,0,1,0,-28.691491424005804,1830.6227905201074
1690001752,CANADA DRY CLUB SODA,1 LT,2,0,1,1,0,-813.2028998015844,5424.779712301555
1660000036,SCHWEPPS CLUB SODA N,1 LT,2,0,1,1,0,-1004.2898632675588,13978.820882388194
