campaign_id,treated_upc,n_stores,incr_units_total,units_ci_lo,units_ci_hi,units_p,incr_margin_total,margin_ci_lo,margin_ci_hi,margin_p,pretrend_p,pretrend_pass,placebo_p,placebo_pass,cannibalized_units_total,gross_cannibalization_rate,qvalue_units,qvalue_margin,validation_status,decision_class,confidence_tier,decision_reason,priority_rank
397,420,82,-25393.792559524045,-62.61402139912939,-40.612777623326075,3.719359069943225e-20,408418.1063968262,740.1524064084305,920.0837984567167,4.207388294197095e-73,5.542489268535706e-58,False,2.0521257718961585e-48,False,1796.75,,9.974644778484103e-20,4.513380170138702e-72,Invalid,Exclude,X,Pre-trend or placebo validation failed.,63
604,421,82,-5408.832936508008,-15.59269989752423,-6.394425860638402,2.7995090571329996e-06,139469.6384563495,256.79493787797014,310.1548119445887,2.5877049370303877e-96,1.8317788064147063e-77,False,7.66805064533827e-80,False,1796.75,,4.028561813923097e-06,6.785537390435238e-95,Invalid,Exclude,X,Pre-trend or placebo validation failed.,65
954,423,75,-75.37499999999206,-1.6925508439587742,1.357550843958809,0.8295587234852262,18815.023750000037,35.752005396353255,47.8703223814247,1.1178010322621269e-41,1.465751208964719e-44,False,5.889644230314051e-44,False,1575.0,,0.8438614600970404,4.710732921676106e-41,Invalid,Exclude,X,Pre-trend or placebo validation failed.,75
1613,426,82,-59.37222222223906,-1.7538589903241693,1.512508493485799,0.8848522797139061,31051.83583333341,54.88175793871332,71.34521699353633,4.8688415367870326e-51,1.928905833766288e-47,False,7.217485350443834e-46,False,1796.75,,0.8886176085637525,2.672201401585441e-50,Invalid,Exclude,X,Pre-trend or placebo validation failed.,72
4605,450,80,57328.79087301585,62.2980935382918,81.02388364424783,7.230188212456364e-51,238059.48711309375,276.25885024652183,318.88986753621253,7.772870301763304e-165,1.6562151987217457e-131,False,3.3550284184013074e-131,False,1572.5,0.0266972077639201,5.170680054968795e-50,1.8343973912161397e-162,Invalid,Exclude,X,Pre-trend or placebo validation failed.,64
4779,451,78,18360.43015873012,23.697668645382556,35.14986391464988,7.395736962726841e-24,114730.0874960322,164.7572765697305,202.96736284062916,2.3321931864582795e-79,7.848758536439887e-07,False,5.9683148611057255e-05,False,1696.0,0.0845614093125026,2.3586404367615332e-23,3.237632894142082e-78,Invalid,Exclude,X,Pre-trend or placebo validation failed.,66
5147,453,71,6295.18888888887,8.529525419243605,13.636632640224246,1.7888054802883364e-17,49092.99722222213,79.8918633449749,92.97080293045516,5.9117470291307625e-148,1.595212829737142e-12,False,0.904470324859762,True,1250.0,0.165668483374984,4.059212436038917e-17,6.9758614943742995e-146,Invalid,Exclude,X,Pre-trend or placebo validation failed.,67
8361,1200000016,82,-1536.3451087501414,-4.254139565429185,0.5069563733556683,0.1229341045078324,-28142.270208308335,-37.404240294679184,-31.235443140219203,1.9330963725971838e-105,7.145964929660557e-70,False,5.74366042119848e-88,False,4598.5,,0.13881554384616482,9.124214878658708e-104,Invalid,Exclude,X,Pre-trend or placebo validation failed.,234
8620,1200000017,82,-558.0243055555754,-3.0653600872935756,0.7969686012953017,0.2496869378019929,48701.88072222233,88.24997477108587,109.7251501159968,5.6431428551439565e-73,7.305540873025805e-43,False,3.35266477112209e-45,False,1796.75,,0.27280609870958483,5.79035527745206e-72,Invalid,Exclude,X,Pre-trend or placebo validation failed.,68
9003,1200000053,82,1353.2749999999944,1.433852189324114,4.067265696854726,4.2344019054896055e-05,22489.49300000005,39.68010708362229,51.740596168410434,6.277805338991809e-50,3.1614291628333335e-63,False,1.0195211979804136e-69,False,1796.75,0.5703922984738227,5.677948009633789e-05,3.2923601333379266e-49,Invalid,Exclude,X,Pre-trend or placebo validation failed.,74
9451,1200000088,77,-386.8361111111104,-1.5743355651050184,-0.1002796345101781,0.025971634605381,7679.606166666677,14.6037191604733,18.64132918007509,1.3785776844085684e-58,6.104408079411557e-11,False,4.6028783440388693e-11,False,1688.75,,0.030800531491808624,9.568950985894769e-58,Invalid,Exclude,X,Pre-trend or placebo validation failed.,79
10888,1200000190,82,1808.682170119928,0.8320876453226747,3.5793322817991013,0.0016482249499365,-17654.03698545978,-23.549566098772782,-19.50906069503156,7.054658080749117e-97,8.136949497485051e-62,False,2.3204161369716606e-85,False,4574.0,0.7166266278168848,0.002036550199921539,2.0811241338209898e-95,Invalid,Exclude,X,Pre-trend or placebo validation failed.,231
11066,1200000225,70,1721.257365050962,1.910744639245912,3.007133546613979,1.476229117910711e-18,-4622.064445274998,-7.210208872498951,-5.995689542572471,8.90285924277903e-101,1.6937753388338756e-32,False,2.1650748003432688e-39,False,3775.5,0.6868594972019465,3.5916502250198735e-18,3.0015354018512156e-99,Invalid,Exclude,X,Pre-trend or placebo validation failed.,220
11156,1200000230,82,18005.040327380622,30.5887190613729,57.24074595023989,1.0547169516096798e-10,34928.75806547611,71.20389417996572,99.1802915052836,7.615337998450657e-33,2.9907476768901492e-46,False,6.1199495164282615e-15,False,321020.875,0.9468918465716876,1.81688467576558e-10,2.8081558869286797e-32,Invalid,Exclude,X,Pre-trend or placebo validation failed.,70
11513,1200000231,78,7561.966574190401,6.739479463059519,20.96003179771118,0.0001346922989178,-164.38778077139577,-2.693224747021186,2.0910717039025206,0.8051545870965238,1.8532684131371297e-140,False,7.504952868465631e-104,False,14981.25,0.6645568945627727,0.00017659656969222666,0.8190365627361189,Invalid,Exclude,X,Pre-trend or placebo validation failed.,167
13483,1200000491,72,1669.0656901311372,1.654559407071836,2.9817341766257677,7.549305632180598e-12,-6092.345698378234,-9.410015831384383,-7.513166664110709,1.8228645168722616e-68,7.114323846294658e-22,False,1.6572470149666563e-25,False,4023.0,0.7067732909293455,1.3600275795378789e-11,1.5933186147476063e-67,Invalid,Exclude,X,Pre-trend or placebo validation failed.,224
13564,1200000492,84,8754.942708333398,17.796902232953133,23.89330114006304,5.790577748683963e-41,4100.846857638938,7.505480889225245,12.022361290007792,2.3809103685638802e-17,1.412959971177862e-51,False,4.205915876808944e-07,False,329001.125,0.9740790956984564,2.8470340597696148e-40,5.3008947828403364e-17,Invalid,Exclude,X,Pre-trend or placebo validation failed.,88
13591,1200000492,82,10561.73536706353,14.21393096631344,22.586540695928814,7.011926646518409e-18,-5796.29437301589,-12.170490158826189,-8.025657482344162,1.295242575842583e-21,3.322713824565585e-89,False,7.688131683692581e-72,False,15259.000000000002,0.590959156781573,1.6066162025032472e-17,3.286852127944619e-21,Invalid,Exclude,X,Pre-trend or placebo validation failed.,221
14053,1200000495,67,1087.2437500000028,0.6943750841757431,2.5511286471675487,0.0006127435901297,-5965.889055555608,-9.774725116371972,-8.03389893006268,2.0022793281876954e-89,3.6453067174329606e-41,False,1.9808580124267522e-43,False,3840.75,0.7793739592303658,0.0007651189802677736,3.634907088094586e-88,Invalid,Exclude,X,Pre-trend or placebo validation failed.,222
14130,1200000496,83,37377.09032738073,82.9982673380574,97.1322884565485,1.0420044126683909e-137,-10061.639684523752,-28.495258408103386,-19.994571396830366,5.104671361906402e-29,0.0136943902189837,False,7.380104520614133e-37,False,324330.5,0.896664899142562,2.4591304138974027e-135,1.7210034877284443e-28,Invalid,Exclude,X,Pre-trend or placebo validation failed.,228
14153,1200000496,85,3472.6939980159977,0.1914270336427836,11.481493968091662,0.042720971252871,-2638.4995768849626,-6.086041161154474,-2.782864979635316,1.4216305129162238e-07,8.370531729109574e-123,False,2.9566002246022047e-115,False,16216.875,0.8236277290596904,0.049665759683140666,2.13697325508426e-07,Invalid,Exclude,X,Pre-trend or placebo validation failed.,212
14704,1200000519,77,247.8708333333328,-0.026871023766735,1.099904934300643,0.0619738639499668,6547.9321527777865,12.550955280356131,15.795071355045538,9.574166091205478e-66,4.135962939874292e-13,False,7.220046762724098e-10,False,1702.5,0.872910920786432,0.0707984232302522,7.288719992014492e-65,Invalid,Exclude,X,Pre-trend or placebo validation failed.,83
14917,1200000524,75,-124.69166666666186,-0.986019096822938,0.4318339116377742,0.4436311485189101,7636.180861111128,14.773159298206371,19.165422306731976,8.244424561710394e-52,1.1284054272695133e-20,False,1.3917396151492188e-18,False,1589.5,,0.4694930540379497,4.63258142038965e-51,Invalid,Exclude,X,Pre-trend or placebo validation failed.,80
15348,1200000686,77,10704.689484126984,20.522229610552955,25.818417506879875,6.359670501949411e-66,-964.8857242063486,-2.711652737923995,-1.4653417391597654,5.0724802463810606e-11,3.2476226237952996e-12,False,4.748644056312849e-49,False,90958.0,0.8947038531200933,7.504411192300305e-65,8.43031928271782e-11,Invalid,Exclude,X,Pre-trend or placebo validation failed.,187
15356,1200000686,78,-376.5883432539936,-3.1932300227883283,1.813785542004469,0.5892145115366079,-1502.0475342262014,-3.3072116688377573,-2.194793951038438,3.1987987707453483e-22,2.52686708902293e-63,False,2.748668287903471e-44,False,14982.749999999998,,0.6072254354700413,8.295785823031892e-22,Invalid,Exclude,X,Pre-trend or placebo validation failed.,198
15944,1200000746,74,7392.374999999982,14.785134843438437,18.51385164304797,1.3522566879951419e-68,-2206.6671597222175,-5.6396662531554975,-4.300275907755393,6.24917047505634e-48,7.532766645453273e-05,False,5.174674697841074e-61,False,88280.49999999999,0.922732801747622,1.9945786147928342e-67,3.137881344921907e-47,Invalid,Exclude,X,Pre-trend or placebo validation failed.,209
15951,1200000746,84,3061.047519841323,5.347375041854159,9.229041719294996,1.8384453231521498e-13,-57.15861607143217,-0.5887465366418452,0.3165626505874063,0.5556808558338346,2.2714865235114103e-78,False,3.1934878045371474e-62,False,15662.125,0.8365102112584035,3.585728068296755e-13,0.5777122554043391,Invalid,Exclude,X,Pre-trend or placebo validation failed.,161
