store,city,zip,income,educ,age9,age60,hsizeavg,density,unemp,retired,mortgage
2,RIVER FOREST,60305,10.5532055,0.24893494,0.117508575,0.23286474,2.5310624,0.00045604358,0.18176486,0.20062013,0.54914457
4,PARK RIDGE,60068,10.646972,0.22078942,0.0950895,0.2620299,2.4803467,0.0005715224,0.15469831,0.17012858,0.6986655
5,PALATINE,60067,10.922371,0.32122573,0.14143348,0.117368035,2.6564388,0.0011192828,0.1779053,0.096642755,0.851806
8,OAK LAWN,60453,10.59701,0.09517328,0.123155415,0.25239402,2.769603,0.00039050236,0.17388481,0.20845197,0.64771867
9,MORTON GROVE,60053,10.787151,0.22217232,0.1035031,0.26911902,2.6168945,0.00070336054,0.14205004,0.16828087,0.6628248
12,CHICAGO,60660,9.996659,0.25341296,0.10569674,0.1783414,1.9590181,0.00018423286,0.203794,0.17566603,0.6568915
14,GLENVIEW,60025,11.043929,0.34829304,0.12958938,0.21394928,2.7350614,0.0009625604,0.15093309,0.1561646,0.74078715
18,RIVER GROVE,60171,10.391975,0.072246455,0.11009499,0.27231336,2.5303378,0.00038543055,0.1654541,0.21532162,0.49440756
21,HANOVER PARK,60103,10.716194,0.17750345,0.17592634,0.06689646,3.1103914,0.00083722617,0.18901256,0.06444933,0.9392978
28,MOUNT PROSPECT,60056,10.798534,0.23316257,0.12887953,0.21330878,2.6465094,0.0012432053,0.14825581,0.14110018,0.74909616
32,PARK RIDGE,60068,10.674475,0.19825986,0.09906063,0.25495303,2.4011538,0.0004560205,0.16236143,0.18009797,0.56619877
33,CHICAGO,60657,10.345927,0.41968802,0.04607092,0.13416997,1.5542903,0.0002484629,0.18175274,0.093755625,0.58474576
40,BRIDGEVIEW,60455,10.55025,0.0721286,0.13368465,0.1818518,2.7309716,0.0006887625,0.19290411,0.16611356,0.73639154
44,WESTERN SPRINGS,60558,10.869159,0.32973838,0.14488348,0.19098277,2.7784345,0.001115212,0.17190051,0.16671468,0.68751705
45,WHEELING,60090,10.745378,0.28015018,0.14671876,0.12885734,2.4988985,0.0014544295,0.15186723,0.08309129,0.88254714
47,ADDISON,60101,10.635326,0.14059865,0.14296168,0.1257983,2.9243994,0.0015234167,0.16832122,0.09625953,0.81600994
48,SCHAUMBURG,60193,10.756029,0.3032604,0.12176708,0.09792196,2.352837,0.0013716549,0.16622742,0.06664157,0.9344553
49,DOWNERS GROVE,60515,10.806754,0.31994995,0.13487774,0.1874732,2.586292,0.0016516517,0.178675,0.15447246,0.7097999
50,HICKORY HILLS,60457,10.589308,0.12876427,0.124420404,0.15335737,2.6513174,0.0013120385,0.2057358,0.13276492,0.7633333
51,PALOS HEIGHTS,60463,10.620839,0.17191671,0.13247211,0.17615972,2.784705,0.0014368761,0.18962735,0.15382251,0.76748085
52,NORTHBROOK,60062,11.051017,0.3729273,0.13660619,0.1522412,2.6783156,0.0015827108,0.16734238,0.10645883,0.8483084
53,CHICAGO,60662,10.600004,0.2703835,0.12083914,0.3002787,2.5547268,0.00050704443,0.1509288,0.22765093,0.6268915
54,NAPERVILLE,60540,10.910898,0.42112565,0.14791459,0.09022228,2.5787995,0.0013467782,0.17447415,0.080532975,0.8609595
56,COUNTRYSIDE,60525,10.831825,0.23755072,0.13101383,0.19288854,2.615022,0.0018817307,0.17214668,0.15377009,0.7202208
59,CRYSTAL LAKE,60014,10.71504,0.2330361,0.17214538,0.110818915,2.9551332,0.0046378793,0.18178414,0.11115272,0.8159588
62,NORTHFIELD,60093,11.2361965,0.51776034,0.13350932,0.22253427,2.6961427,0.0010946979,0.16530447,0.1772329,0.6952259
64,VILLA PARK,60181,10.605818,0.1608213,0.1484041,0.14199202,2.8513513,0.0010373326,0.1661117,0.114546664,0.73400867
65,HANOVER PARK,60103,10.754621,0.21099517,0.19005542,0.06365134,3.0954146,0.0017859817,0.19374457,0.061576888,0.9191055
67,OAKBROOK TERRACE,60521,10.79696,0.28439465,0.11882005,0.21027298,2.5559676,0.0012301451,0.1559018,0.15285516,0.73066664
68,CHICAGO,60625,10.188366,0.15972151,0.1309704,0.18141776,2.515661,0.00020784583,0.19809674,0.18124673,0.5420827
70,JOLIET,60435,10.412352,0.1656696,0.14334598,0.19023581,2.6202266,0.0014649682,0.19729558,0.17909974,0.6262612
71,NORTH RIVERSIDE,60546,10.404839,0.15958808,0.111723684,0.26807088,2.307084,0.00050702103,0.17961776,0.23249027,0.44311887
72,LINCOLNWOOD,60646,10.7121935,0.26872456,0.105576314,0.28372768,2.6189268,0.0006821641,0.14635395,0.19462687,0.60587615
73,CHICAGO,60629,10.614965,0.073053956,0.12446502,0.2574508,2.7591085,0.00026729438,0.16591305,0.21828571,0.50210524
74,NORRIDGE,60634,10.480017,0.07119776,0.09384318,0.30739784,2.4905834,0.0003646547,0.16554444,0.23028088,0.47090665
75,CHICAGO,60640,9.867083,0.21954845,0.11389111,0.2076995,1.9488558,0.00017880971,0.22744179,0.23083764,0.672
76,CHICAGO,60618,10.140613,0.08771179,0.14177467,0.14919242,2.7390542,0.00013000997,0.21835227,0.17215733,0.4839549
77,VERNON HILLS,60061,10.983121,0.3768711,0.17471676,0.10110045,2.8249497,0.0031208326,0.1820041,0.096568964,0.8505921
78,DOWNERS GROVE,60516,10.959175,0.31443226,0.15539117,0.11194799,2.75514,0.00082672044,0.16563374,0.0923563,0.85955435
80,ARLINGTON HEIGHTS,60005,10.90951,0.30446568,0.13860406,0.15269126,2.6324115,0.00055837724,0.16353564,0.11779898,0.823902
81,MOUNT PROSPECT,60056,10.719935,0.23420161,0.116792165,0.18111894,2.5155709,0.0005177718,0.1430956,0.11441578,0.75005025
83,LANSING,60438,10.456079,0.1459849,0.12705773,0.20083469,2.6149173,0.000884767,0.18053225,0.1702829,0.6858874
84,ORLAND PARK,60462,10.765617,0.18809432,0.16465728,0.1221,3.0472775,0.0023492964,0.19030862,0.10896048,0.8720285
86,CHICAGO,60618,10.088971,0.09676392,0.14175852,0.13875638,2.5295594,0.00018341832,0.24458991,0.16895694,0.45489442
88,BENSENVILLE,60106,10.549805,0.15163276,0.1364172,0.16041422,2.7439382,0.0012705401,0.15861847,0.12173421,0.703966
